epoch,loss,lr,mean_absolute_error,time,val_loss,val_mean_absolute_error
0,0.22450416,0.001,0.3994154,266.72147512435913,0.2889709,0.44195825
1,0.19994473,0.0007734375,0.37906313,147.43892168998718,0.28129637,0.45003968
