Type,Average Pread/Read (ns),Average Open (ns),Average Close (ns),Total (ns),Files Opened,Read/Pread Count
Storage,328537.4146592812,16217.195476575122,9913.941841680129,2566611124,619,7763
NVMe,91966.13320707071,12505.064,7300.4796747967475,148135447,125,1584
