Type,Average Pread/Read (ns),Average Open (ns),Average Close (ns),Total (ns),Files Opened,Read/Pread Count
Storage,23156.296534653466,16648.667701863353,9624.313664596273,204022676,644,8080
NVMe,20296.298893759133,11957.092348284961,5017.242021276596,103657789,379,4791
