Type,Average Pread/Read (ns),Average Open (ns),Average Close (ns),Total (ns),Files Opened,Read/Pread Count
Storage,3598805.053201082,163537.54604200323,8041.200323101777,28043730872,619,7763
NVMe,3287355.4217550885,197942.77004219408,8903.340425531915,19802417841,474,5994
