nodes,gpus,ntasks,batch_size,prefetch,max_memory_usage
5,3,3,4,8,23349.6015625
5,3,3,16,1,23404.359375
5,3,3,16,2,23364.1328125
5,3,3,16,4,23394.7578125
5,3,3,16,8,36078.296875
5,4,4,1,1,18404.07421875
5,4,4,1,2,18482.61328125
5,4,4,1,4,18315.94140625
5,4,4,1,8,18432.80078125
5,4,4,4,1,22625.07421875
5,4,4,4,2,22629.5234375
5,4,4,4,4,22613.21875
5,4,4,4,8,31037.91015625
5,4,4,16,1,31037.703125
5,4,4,16,2,31109.40625
5,4,4,16,4,31022.65234375
5,4,4,16,8,48105.4921875
3,2,2,16,2,15701.61328125
3,2,2,16,4,15697.71875
3,2,2,16,8,24223.90234375
3,4,4,1,1,18406.41796875
3,4,4,1,2,18455.87890625
3,4,4,1,4,18526.42578125
3,4,4,1,8,18490.55078125
3,4,4,4,1,22647.7734375
3,4,4,4,2,22598.60546875
3,4,4,4,4,22632.68359375
3,4,4,4,8,31166.79296875
3,4,4,8,1,22689.1953125
3,4,4,8,2,22593.3984375
3,4,4,8,4,31042.5859375
3,4,4,8,8,31150.97265625
3,4,4,16,1,31138.8203125
3,4,4,16,2,31125.25
3,4,4,16,4,31158.84765625
3,4,4,16,8,47982.24609375
3,3,3,1,1,13872.6484375
3,3,3,1,2,13939.55859375
3,3,3,1,4,13924.20703125
3,3,3,1,8,13904.69140625
3,3,3,4,1,17043.37890625
3,3,3,4,2,17056.62109375
3,3,3,4,4,17105.28125
3,3,3,4,8,23444.0625
3,3,3,8,1,17051.62890625
3,3,3,8,2,17047.26171875
3,3,3,8,4,23426.953125
3,3,3,8,8,23476.35546875
3,3,3,16,1,23356.0
3,3,3,16,2,23439.8515625
3,3,3,16,4,23411.69921875
3,3,3,16,8,36118.89453125
1,1,1,1,1,4722.63671875
1,1,1,1,2,4830.4296875
1,1,1,1,4,4758.66796875
1,1,1,1,8,4806.3984375
1,1,1,4,1,5820.74609375
1,1,1,4,2,5829.1640625
1,1,1,4,4,5834.86328125
1,1,1,4,8,7967.69921875
1,1,1,16,1,7949.109375
1,1,1,16,2,7968.43359375
1,1,1,16,4,7974.04296875
1,1,1,16,8,12254.515625
1,2,2,1,1,9494.62890625
1,2,2,1,2,9502.8046875
1,2,2,1,4,9552.91796875
1,2,2,1,8,9466.6171875
1,2,2,4,1,9450.06640625
1,2,2,4,2,9490.91015625
1,2,2,4,4,11617.3359375
1,2,2,4,8,11601.98828125
1,2,2,16,1,11575.90625
1,2,2,16,2,15821.96875
1,2,2,16,4,15802.4453125
1,2,2,16,8,24266.41015625
1,4,4,1,1,18388.84765625
1,4,4,1,2,18396.98828125
1,4,4,1,4,18574.875
1,4,4,1,8,18429.28125
1,4,4,4,1,22642.51171875
1,4,4,4,2,22666.04296875
1,4,4,4,4,22625.3671875
1,4,4,4,8,31132.7734375
1,4,4,16,1,31097.609375
1,4,4,16,2,31181.796875
1,4,4,16,4,31210.4921875
1,4,4,16,8,48030.9296875
2,1,1,1,1,5106.0390625
2,1,1,1,2,5062.19140625
2,1,1,1,4,5061.53515625
2,1,1,1,8,5081.6640625
2,1,1,4,1,6157.01953125
2,1,1,4,2,6129.046875
2,1,1,4,4,6132.1171875
2,1,1,4,8,8285.54296875
2,1,1,16,1,8233.75390625
2,1,1,16,2,8222.19921875
